TS,QV2M,PRECTOTCORR,date
26.23,8.61,0.37,1982-03-11
25.34,8.91,1.18,1982-03-12
23.72,7.2,0.87,1982-03-13
23.51,6.71,0.45,1982-03-14
24.39,6.35,0.0,1982-03-15
25.51,6.9,0.0,1982-03-16
27.97,10.31,0.0,1982-03-17
28.58,13.37,3.95,1982-03-18
27.24,14.53,10.39,1982-03-19
27.37,9.46,0.0,1982-03-20
27.26,8.0,0.0,1982-03-21
27.53,7.57,0.0,1982-03-22
28.58,8.18,0.0,1982-03-23
30.18,9.09,0.0,1982-03-24
29.4,9.28,0.89,1982-03-25
22.49,11.6,5.1,1982-03-26
25.68,9.52,0.0,1982-03-27
26.47,6.35,0.0,1982-03-28
28.23,7.14,0.0,1982-03-29
29.94,8.3,0.02,1982-03-30
30.21,9.34,0.06,1982-03-31
29.9,8.3,1.14,1982-04-01
31.15,9.09,0.25,1982-04-02
30.52,7.87,0.56,1982-04-03
29.4,8.24,4.98,1982-04-04
32.43,13.85,0.35,1982-04-05
31.01,15.38,0.0,1982-04-06
32.8,15.14,2.79,1982-04-07
31.32,13.85,5.81,1982-04-08
29.17,7.08,0.39,1982-04-09
30.67,7.2,0.0,1982-04-10
32.58,11.54,0.04,1982-04-11
32.15,10.56,0.11,1982-04-12
32.9,12.08,0.37,1982-04-13
32.83,13.0,6.99,1982-04-14
31.93,12.02,0.1,1982-04-15
33.06,12.94,0.38,1982-04-16
32.96,13.31,0.73,1982-04-17
30.68,13.49,1.06,1982-04-18
29.66,14.47,6.9,1982-04-19
26.97,16.3,21.55,1982-04-20
29.09,13.98,10.08,1982-04-21
30.29,11.05,0.03,1982-04-22
31.48,12.21,3.17,1982-04-23
32.73,10.8,0.33,1982-04-24
33.09,12.88,0.07,1982-04-25
32.71,14.77,1.47,1982-04-26
32.67,14.34,5.24,1982-04-27
32.5,13.98,2.35,1982-04-28
33.15,13.31,2.32,1982-04-29
32.83,11.47,0.11,1982-04-30
33.94,11.6,0.0,1982-05-01
34.57,12.57,0.0,1982-05-02
33.9,13.24,3.68,1982-05-03
32.99,11.05,0.19,1982-05-04
32.3,12.57,9.89,1982-05-05
34.98,14.95,0.29,1982-05-06
34.54,12.39,0.01,1982-05-07
34.98,11.96,0.22,1982-05-08
35.92,15.01,0.01,1982-05-09
35.4,16.24,5.77,1982-05-10
33.52,16.48,5.15,1982-05-11
34.43,15.99,3.96,1982-05-12
33.68,16.3,2.87,1982-05-13
31.44,17.76,8.08,1982-05-14
31.06,14.95,4.72,1982-05-15
29.66,16.24,4.42,1982-05-16
32.14,13.92,2.06,1982-05-17
31.56,13.31,6.78,1982-05-18
32.73,13.43,0.0,1982-05-19
33.51,13.31,0.0,1982-05-20
34.76,12.82,0.0,1982-05-21
34.77,13.31,0.41,1982-05-22
33.94,14.77,0.35,1982-05-23
35.55,13.85,0.79,1982-05-24
36.82,14.4,0.08,1982-05-25
34.79,15.87,10.49,1982-05-26
36.12,15.69,0.04,1982-05-27
36.59,16.17,0.07,1982-05-28
34.87,18.25,4.38,1982-05-29
34.85,17.64,2.31,1982-05-30
33.69,18.74,6.41,1982-05-31
33.72,17.7,0.0,1982-06-01
34.35,17.27,1.64,1982-06-02
31.36,17.7,5.84,1982-06-03
29.71,19.35,13.39,1982-06-04
32.83,17.33,2.01,1982-06-05
34.7,15.87,1.05,1982-06-06
34.9,16.11,0.84,1982-06-07
34.05,17.64,4.82,1982-06-08
32.67,18.68,10.77,1982-06-09
33.15,19.23,8.39,1982-06-10
31.48,19.9,12.36,1982-06-11
30.73,19.23,5.79,1982-06-12
33.55,18.74,3.73,1982-06-13
30.11,19.96,6.99,1982-06-14
28.59,19.84,7.51,1982-06-15
29.97,18.68,2.17,1982-06-16
32.83,19.23,1.0,1982-06-17
29.9,20.08,18.24,1982-06-18
31.22,19.84,18.68,1982-06-19
30.54,20.14,14.16,1982-06-20
28.8,20.63,17.81,1982-06-21
28.71,20.39,27.14,1982-06-22
30.26,20.45,1.41,1982-06-23
29.68,20.57,0.45,1982-06-24
30.48,20.87,4.41,1982-06-25
31.16,21.36,11.73,1982-06-26
29.62,22.03,1.64,1982-06-27
29.41,21.0,1.91,1982-06-28
28.74,19.84,1.26,1982-06-29
30.46,19.96,1.25,1982-06-30
31.71,20.32,2.98,1982-07-01
31.87,19.9,0.48,1982-07-02
31.97,18.62,5.45,1982-07-03
32.29,19.78,1.32,1982-07-04
31.57,20.45,2.67,1982-07-05
31.1,20.63,1.15,1982-07-06
31.28,21.24,7.23,1982-07-07
30.73,21.42,13.15,1982-07-08
30.36,21.24,5.44,1982-07-09
30.51,20.39,0.66,1982-07-10
28.78,20.14,1.53,1982-07-11
28.8,20.08,11.76,1982-07-12
28.95,20.69,5.84,1982-07-13
30.3,20.87,2.06,1982-07-14
30.43,20.69,2.24,1982-07-15
32.02,20.57,0.66,1982-07-16
31.27,20.63,0.04,1982-07-17
32.68,19.65,0.69,1982-07-18
30.25,20.2,2.06,1982-07-19
30.01,20.26,3.57,1982-07-20
30.19,19.78,3.16,1982-07-21
28.4,20.2,1.55,1982-07-22
29.85,20.75,4.28,1982-07-23
29.31,20.69,16.23,1982-07-24
29.06,21.48,9.11,1982-07-25
29.9,21.36,5.14,1982-07-26
28.62,21.61,11.32,1982-07-27
29.63,21.12,9.26,1982-07-28
29.9,20.2,3.83,1982-07-29
30.56,20.51,3.33,1982-07-30
28.6,20.81,1.9,1982-07-31
29.88,20.45,12.51,1982-08-01
28.33,21.24,15.39,1982-08-02
27.26,20.63,16.01,1982-08-03
27.77,21.24,15.49,1982-08-04
28.79,21.24,4.4,1982-08-05
29.24,21.3,3.85,1982-08-06
28.78,21.24,1.76,1982-08-07
28.49,20.39,4.12,1982-08-08
28.4,20.51,2.09,1982-08-09
29.09,20.69,2.05,1982-08-10
29.27,21.48,1.16,1982-08-11
27.55,20.2,1.7,1982-08-12
28.3,20.63,4.48,1982-08-13
28.58,21.24,5.67,1982-08-14
29.08,21.36,11.26,1982-08-15
29.54,21.12,2.57,1982-08-16
29.26,20.69,0.68,1982-08-17
29.23,20.63,1.22,1982-08-18
28.75,21.61,1.52,1982-08-19
29.3,21.3,1.23,1982-08-20
29.09,21.12,1.7,1982-08-21
29.42,20.87,1.41,1982-08-22
29.51,21.61,17.38,1982-08-23
29.08,21.12,12.34,1982-08-24
29.7,21.12,2.32,1982-08-25
29.54,21.24,0.81,1982-08-26
29.41,20.2,0.56,1982-08-27
28.76,20.32,1.2,1982-08-28
28.03,20.26,3.25,1982-08-29
28.06,19.78,1.85,1982-08-30
28.65,19.53,4.54,1982-08-31
29.19,19.84,3.69,1982-09-01
30.13,19.96,0.41,1982-09-02
30.52,20.51,0.04,1982-09-03
28.61,20.08,1.36,1982-09-04
28.87,19.35,10.45,1982-09-05
28.97,20.57,12.41,1982-09-06
28.78,20.2,0.54,1982-09-07
29.65,20.94,0.2,1982-09-08
28.56,21.73,0.46,1982-09-09
28.55,19.59,2.45,1982-09-10
28.54,20.57,10.18,1982-09-11
28.44,20.57,11.02,1982-09-12
28.61,20.63,5.64,1982-09-13
28.02,20.02,12.52,1982-09-14
28.4,19.47,2.08,1982-09-15
29.07,19.29,1.82,1982-09-16
29.42,18.49,0.41,1982-09-17
29.14,18.31,0.41,1982-09-18
29.44,18.07,0.36,1982-09-19
29.51,18.01,0.1,1982-09-20
29.86,18.01,0.2,1982-09-21
29.74,17.58,0.18,1982-09-22
28.67,17.03,0.12,1982-09-23
29.75,16.54,0.0,1982-09-24
30.3,16.36,0.0,1982-09-25
30.71,16.3,0.0,1982-09-26
30.68,16.54,0.0,1982-09-27
29.73,17.15,1.56,1982-09-28
29.65,16.36,3.71,1982-09-29
28.74,13.98,0.03,1982-09-30
29.38,13.67,0.58,1982-10-01
29.74,13.43,0.3,1982-10-02
29.73,14.34,0.22,1982-10-03
30.31,13.55,0.0,1982-10-04
29.78,12.88,0.0,1982-10-05
29.4,12.27,0.0,1982-10-06
29.15,12.27,0.0,1982-10-07
29.65,13.31,0.0,1982-10-08
30.32,13.73,0.0,1982-10-09
30.37,14.04,0.09,1982-10-10
28.79,14.28,7.47,1982-10-11
28.6,13.12,1.3,1982-10-12
29.11,12.76,0.0,1982-10-13
29.33,12.88,0.0,1982-10-14
29.32,13.31,0.01,1982-10-15
29.84,13.73,0.0,1982-10-16
30.23,13.79,0.0,1982-10-17
29.52,11.66,0.0,1982-10-18
29.82,12.51,0.0,1982-10-19
30.59,14.16,0.0,1982-10-20
28.03,13.49,0.01,1982-10-21
27.26,14.47,0.57,1982-10-22
25.72,16.17,12.84,1982-10-23
27.04,14.65,0.36,1982-10-24
26.7,12.21,0.11,1982-10-25
27.06,10.86,0.0,1982-10-26
27.98,10.86,0.0,1982-10-27
27.23,11.41,0.0,1982-10-28
26.75,11.54,0.0,1982-10-29
26.42,10.99,0.0,1982-10-30
26.68,10.99,0.0,1982-10-31
26.58,11.9,0.0,1982-11-01
27.01,11.29,0.0,1982-11-02
26.55,10.86,0.0,1982-11-03
25.01,8.97,0.0,1982-11-04
24.15,7.93,0.0,1982-11-05
25.31,8.85,0.0,1982-11-06
26.69,10.13,0.05,1982-11-07
25.98,10.62,0.0,1982-11-08
25.53,11.29,0.0,1982-11-09
24.43,12.27,0.24,1982-11-10
24.74,13.0,2.01,1982-11-11
24.37,12.08,1.88,1982-11-12
23.65,9.64,0.02,1982-11-13
23.61,9.28,0.01,1982-11-14
24.27,9.34,0.0,1982-11-15
24.56,9.64,0.0,1982-11-16
24.42,9.28,0.0,1982-11-17
23.87,9.28,0.0,1982-11-18
24.19,9.03,0.0,1982-11-19
24.87,9.64,0.08,1982-11-20
25.32,9.83,0.13,1982-11-21
23.48,10.07,0.0,1982-11-22
24.69,10.31,0.05,1982-11-23
23.37,7.45,0.02,1982-11-24
20.78,4.76,0.0,1982-11-25
20.4,5.19,0.0,1982-11-26
20.23,5.13,0.0,1982-11-27
19.88,4.94,0.01,1982-11-28
18.87,4.94,0.0,1982-11-29
18.12,4.21,0.0,1982-11-30
17.58,4.03,0.0,1982-12-01
18.12,4.39,0.0,1982-12-02
18.8,5.31,0.0,1982-12-03
19.52,5.74,0.0,1982-12-04
19.44,5.62,0.0,1982-12-05
18.9,5.19,0.0,1982-12-06
18.38,4.52,0.0,1982-12-07
18.3,4.7,0.0,1982-12-08
18.89,6.04,0.0,1982-12-09
18.4,4.46,0.0,1982-12-10
19.09,5.98,0.0,1982-12-11
19.91,6.47,0.0,1982-12-12
20.22,7.45,0.0,1982-12-13
20.59,7.57,0.0,1982-12-14
19.66,5.68,0.0,1982-12-15
20.1,5.37,0.0,1982-12-16
19.87,5.49,0.0,1982-12-17
18.71,4.33,0.0,1982-12-18
18.71,5.43,0.0,1982-12-19
19.31,5.8,0.0,1982-12-20
19.91,6.35,0.0,1982-12-21
20.33,6.96,0.0,1982-12-22
19.01,4.33,0.0,1982-12-23
19.94,6.23,0.0,1982-12-24
19.39,5.43,0.0,1982-12-25
18.69,6.29,0.0,1982-12-26
18.8,5.25,0.0,1982-12-27
19.35,5.55,0.0,1982-12-28
19.01,6.04,0.0,1982-12-29
19.85,5.86,0.0,1982-12-30
16.84,4.21,0.0,1982-12-31
16.4,3.97,0.0,1983-01-01
17.62,4.21,0.0,1983-01-02
17.2,4.33,0.0,1983-01-03
16.63,4.94,0.02,1983-01-04
16.81,4.58,0.0,1983-01-05
16.31,3.66,0.0,1983-01-06
16.51,3.36,0.0,1983-01-07
17.04,3.72,0.0,1983-01-08
18.82,4.76,0.0,1983-01-09
19.21,5.62,0.13,1983-01-10
17.61,4.39,0.02,1983-01-11
16.76,4.52,0.0,1983-01-12
17.67,4.21,0.0,1983-01-13
16.98,3.36,0.0,1983-01-14
17.29,3.36,0.0,1983-01-15
18.45,4.7,0.0,1983-01-16
20.27,5.68,0.0,1983-01-17
18.69,4.76,0.0,1983-01-18
17.71,2.99,0.0,1983-01-19
18.46,2.99,0.0,1983-01-20
18.89,2.99,0.0,1983-01-21
18.93,3.85,0.0,1983-01-22
19.03,4.33,0.0,1983-01-23
20.29,4.33,0.0,1983-01-24
20.12,4.76,0.0,1983-01-25
21.05,5.07,0.0,1983-01-26
21.23,4.88,0.34,1983-01-27
22.34,4.39,0.0,1983-01-28
20.36,6.96,0.0,1983-01-29
22.15,7.26,0.0,1983-01-30
21.56,4.27,0.0,1983-01-31
19.73,3.42,0.48,1983-02-01
18.23,3.23,0.0,1983-02-02
18.27,2.99,0.0,1983-02-03
17.35,2.62,0.0,1983-02-04
16.2,2.01,0.0,1983-02-05
16.12,1.83,0.0,1983-02-06
17.21,2.69,0.0,1983-02-07
20.71,3.11,0.0,1983-02-08
19.28,6.65,0.12,1983-02-09
21.7,6.77,0.06,1983-02-10
21.62,3.6,0.0,1983-02-11
20.3,2.56,0.0,1983-02-12
21.46,2.69,0.0,1983-02-13
23.55,5.13,0.0,1983-02-14
24.75,6.84,0.0,1983-02-15
26.03,7.02,0.04,1983-02-16
25.69,6.16,0.01,1983-02-17
25.93,6.04,0.01,1983-02-18
25.49,5.68,0.0,1983-02-19
23.48,4.09,0.52,1983-02-20
24.12,4.33,0.0,1983-02-21
25.4,5.8,0.1,1983-02-22
25.73,6.35,0.44,1983-02-23
25.0,3.91,0.01,1983-02-24
25.3,5.49,0.06,1983-02-25
26.16,8.36,1.41,1983-02-26
24.26,4.09,0.0,1983-02-27
22.94,3.23,0.04,1983-02-28
24.58,3.42,0.0,1983-03-01
25.82,4.39,0.0,1983-03-02
27.44,10.93,0.53,1983-03-03
28.1,6.96,0.11,1983-03-04
26.65,4.21,0.25,1983-03-05
25.7,4.27,0.0,1983-03-06
24.52,2.2,0.01,1983-03-07
24.84,2.56,0.0,1983-03-08
26.17,3.78,0.0,1983-03-09
27.9,4.46,0.0,1983-03-10
28.51,4.82,0.0,1983-03-11
30.01,4.33,0.0,1983-03-12
28.76,3.72,0.0,1983-03-13
28.63,2.93,0.0,1983-03-14
30.16,4.52,0.0,1983-03-15
29.94,8.3,0.92,1983-03-16
28.49,8.36,1.83,1983-03-17
28.68,6.29,0.0,1983-03-18
30.22,7.87,0.07,1983-03-19
31.43,13.37,0.88,1983-03-20
30.69,11.96,0.32,1983-03-21
26.31,3.42,0.02,1983-03-22
25.05,2.69,0.51,1983-03-23
24.98,2.38,0.0,1983-03-24
26.37,2.93,0.0,1983-03-25
28.59,4.03,0.0,1983-03-26
30.82,7.08,0.0,1983-03-27
31.67,5.25,0.0,1983-03-28
31.17,4.46,0.0,1983-03-29
29.95,2.81,0.0,1983-03-30
28.94,2.32,0.0,1983-03-31
29.56,2.62,0.0,1983-04-01
30.87,2.93,0.0,1983-04-02
32.49,3.91,0.0,1983-04-03
33.55,4.76,0.0,1983-04-04
35.03,6.29,0.0,1983-04-05
32.94,4.52,0.0,1983-04-06
33.21,5.25,0.0,1983-04-07
34.26,5.92,0.0,1983-04-08
35.07,6.47,0.0,1983-04-09
34.94,9.16,0.47,1983-04-10
34.29,10.74,1.49,1983-04-11
32.76,5.98,0.33,1983-04-12
33.18,11.11,0.15,1983-04-13
32.12,8.18,0.03,1983-04-14
31.19,8.0,0.16,1983-04-15
29.51,9.77,0.75,1983-04-16
26.58,10.5,0.08,1983-04-17
28.34,10.99,0.24,1983-04-18
28.8,10.74,0.31,1983-04-19
30.17,6.41,0.01,1983-04-20
31.23,6.65,0.31,1983-04-21
31.69,4.94,0.0,1983-04-22
32.94,5.86,0.0,1983-04-23
35.1,9.46,0.01,1983-04-24
33.65,13.31,3.45,1983-04-25
34.29,15.08,2.07,1983-04-26
35.16,14.95,0.27,1983-04-27
35.59,14.77,0.57,1983-04-28
35.48,13.79,1.27,1983-04-29
35.24,11.54,0.87,1983-04-30
35.09,15.99,2.21,1983-05-01
35.83,15.99,0.64,1983-05-02
33.61,17.58,6.89,1983-05-03
32.69,15.2,4.69,1983-05-04
34.67,16.17,0.44,1983-05-05
35.49,15.56,0.01,1983-05-06
35.62,15.2,0.01,1983-05-07
33.67,14.53,0.02,1983-05-08
33.44,14.77,0.2,1983-05-09
30.62,15.08,0.06,1983-05-10
33.16,13.67,0.58,1983-05-11
32.19,14.89,4.59,1983-05-12
33.3,14.65,0.87,1983-05-13
35.2,14.53,0.41,1983-05-14
35.67,14.89,3.27,1983-05-15
34.44,15.99,4.16,1983-05-16
35.04,15.81,0.28,1983-05-17
34.48,15.44,1.42,1983-05-18
34.07,16.78,2.02,1983-05-19
35.51,15.56,1.43,1983-05-20
36.15,15.75,1.73,1983-05-21
35.37,16.54,2.43,1983-05-22
35.0,15.93,0.75,1983-05-23
36.38,15.01,0.22,1983-05-24
36.88,13.43,1.13,1983-05-25
37.98,12.7,0.0,1983-05-26
38.22,13.12,0.0,1983-05-27
38.73,13.12,0.0,1983-05-28
39.02,13.85,0.0,1983-05-29
39.4,14.71,0.0,1983-05-30
38.94,14.71,0.0,1983-05-31
39.18,14.47,0.0,1983-06-01
38.5,15.2,0.19,1983-06-02
36.58,15.26,0.07,1983-06-03
38.55,15.38,0.11,1983-06-04
37.19,17.15,0.09,1983-06-05
38.27,15.56,0.05,1983-06-06
38.57,14.71,0.07,1983-06-07
37.96,17.27,0.38,1983-06-08
35.33,16.66,0.34,1983-06-09
34.55,16.17,1.58,1983-06-10
34.38,15.44,0.67,1983-06-11
38.13,14.34,0.07,1983-06-12
35.94,15.69,0.13,1983-06-13
37.84,15.81,0.32,1983-06-14
36.32,16.3,0.43,1983-06-15
36.75,16.24,0.21,1983-06-16
37.3,16.24,2.3,1983-06-17
37.99,17.15,0.6,1983-06-18
38.3,16.91,0.45,1983-06-19
36.51,17.76,0.78,1983-06-20
37.71,17.46,0.18,1983-06-21
33.85,18.86,0.46,1983-06-22
37.03,16.91,0.37,1983-06-23
37.54,16.72,0.08,1983-06-24
35.15,18.01,0.6,1983-06-25
33.37,18.19,1.13,1983-06-26
34.55,18.01,4.32,1983-06-27
33.63,18.98,4.04,1983-06-28
34.17,19.47,2.42,1983-06-29
33.29,19.04,1.4,1983-06-30
33.85,19.04,0.5,1983-07-01
33.26,18.55,2.02,1983-07-02
32.42,18.19,9.09,1983-07-03
29.9,18.31,4.14,1983-07-04
29.71,20.2,9.33,1983-07-05
32.94,19.29,7.69,1983-07-06
34.98,18.43,2.33,1983-07-07
33.82,18.74,0.26,1983-07-08
34.44,17.88,0.04,1983-07-09
35.09,17.94,0.02,1983-07-10
35.09,17.88,1.73,1983-07-11
36.21,17.09,0.08,1983-07-12
36.85,16.72,0.03,1983-07-13
36.72,16.36,0.07,1983-07-14
37.14,16.91,0.68,1983-07-15
35.87,17.33,0.83,1983-07-16
37.31,18.07,1.29,1983-07-17
35.06,18.74,1.31,1983-07-18
35.64,18.8,0.87,1983-07-19
35.55,17.76,0.44,1983-07-20
33.99,18.92,0.32,1983-07-21
34.1,18.92,6.79,1983-07-22
31.64,19.96,5.08,1983-07-23
31.09,18.74,2.58,1983-07-24
31.63,17.64,2.48,1983-07-25
30.39,18.13,2.48,1983-07-26
33.55,18.01,1.76,1983-07-27
33.72,19.04,4.84,1983-07-28
30.51,21.3,33.62,1983-07-29
29.9,21.48,23.13,1983-07-30
30.95,21.0,5.05,1983-07-31
31.8,19.71,0.48,1983-08-01
32.08,18.74,0.08,1983-08-02
28.98,19.78,2.63,1983-08-03
28.22,20.45,5.49,1983-08-04
27.92,20.69,13.66,1983-08-05
27.56,21.0,24.96,1983-08-06
28.74,20.02,6.58,1983-08-07
29.65,19.29,0.46,1983-08-08
30.55,19.35,0.03,1983-08-09
31.01,19.71,0.53,1983-08-10
30.63,19.65,0.81,1983-08-11
30.37,19.96,0.4,1983-08-12
31.34,19.9,0.36,1983-08-13
31.06,19.59,0.47,1983-08-14
31.11,19.9,0.57,1983-08-15
31.64,19.53,0.63,1983-08-16
32.19,19.96,1.14,1983-08-17
30.72,19.96,0.1,1983-08-18
30.73,20.39,0.13,1983-08-19
31.06,19.41,2.98,1983-08-20
30.98,20.39,2.59,1983-08-21
29.08,21.18,3.09,1983-08-22
29.15,21.12,2.55,1983-08-23
28.58,21.0,6.82,1983-08-24
28.34,20.51,8.63,1983-08-25
28.29,20.08,16.26,1983-08-26
30.19,19.59,1.62,1983-08-27
30.23,19.04,0.46,1983-08-28
30.78,19.04,0.54,1983-08-29
31.32,19.41,1.18,1983-08-30
30.24,20.02,1.91,1983-08-31
30.4,19.29,1.19,1983-09-01
29.15,19.17,0.26,1983-09-02
31.24,18.68,0.32,1983-09-03
31.07,19.41,0.88,1983-09-04
28.92,19.84,2.97,1983-09-05
28.96,19.96,2.78,1983-09-06
28.65,20.39,3.2,1983-09-07
29.38,20.2,3.44,1983-09-08
30.07,19.47,2.99,1983-09-09
29.82,19.47,2.95,1983-09-10
30.73,18.49,1.32,1983-09-11
31.86,18.55,0.65,1983-09-12
30.58,18.8,0.4,1983-09-13
29.37,19.35,1.88,1983-09-14
29.62,19.29,3.81,1983-09-15
27.15,19.53,3.71,1983-09-16
28.0,20.02,4.19,1983-09-17
29.76,19.59,5.53,1983-09-18
29.8,19.35,4.51,1983-09-19
29.37,19.84,7.63,1983-09-20
27.49,19.96,18.37,1983-09-21
28.57,19.1,9.58,1983-09-22
29.51,18.31,1.06,1983-09-23
30.27,18.19,0.55,1983-09-24
30.36,17.88,0.17,1983-09-25
30.66,18.31,0.59,1983-09-26
28.98,19.1,1.74,1983-09-27
28.79,19.1,1.27,1983-09-28
30.11,18.25,0.14,1983-09-29
29.75,18.31,0.74,1983-09-30
29.32,18.25,0.33,1983-10-01
29.92,18.25,0.09,1983-10-02
28.71,19.1,2.14,1983-10-03
30.44,18.74,2.11,1983-10-04
31.67,18.98,1.25,1983-10-05
28.71,19.35,0.5,1983-10-06
29.51,18.86,3.62,1983-10-07
27.71,18.62,3.23,1983-10-08
27.42,18.62,1.79,1983-10-09
26.79,19.71,20.31,1983-10-10
26.06,20.2,47.83,1983-10-11
26.12,18.98,10.33,1983-10-12
27.32,18.68,1.61,1983-10-13
27.17,18.43,0.43,1983-10-14
25.84,17.21,9.83,1983-10-15
24.51,14.95,3.66,1983-10-16
22.26,11.17,0.0,1983-10-17
22.19,10.56,0.03,1983-10-18
24.16,13.85,0.0,1983-10-19
25.65,15.14,0.0,1983-10-20
26.53,17.03,0.09,1983-10-21
27.55,17.03,1.06,1983-10-22
27.3,16.66,1.32,1983-10-23
26.73,16.3,0.61,1983-10-24
25.12,12.45,0.0,1983-10-25
22.61,9.09,0.06,1983-10-26
22.31,10.01,0.0,1983-10-27
23.05,10.25,0.0,1983-10-28
23.72,11.17,0.0,1983-10-29
26.01,13.37,0.0,1983-10-30
26.92,13.37,0.0,1983-10-31
25.44,13.0,0.0,1983-11-01
25.39,11.84,0.0,1983-11-02
24.12,9.22,0.0,1983-11-03
23.54,8.79,0.0,1983-11-04
24.02,10.25,0.0,1983-11-05
24.69,11.29,0.0,1983-11-06
25.27,11.05,0.0,1983-11-07
23.83,10.13,0.0,1983-11-08
26.21,13.12,0.0,1983-11-09
24.97,11.05,0.01,1983-11-10
23.33,9.83,0.0,1983-11-11
22.08,7.32,0.0,1983-11-12
22.44,8.85,0.0,1983-11-13
23.61,10.93,0.0,1983-11-14
24.05,10.74,0.0,1983-11-15
24.02,10.56,0.0,1983-11-16
23.83,11.05,0.0,1983-11-17
23.97,10.86,0.0,1983-11-18
22.58,7.87,0.0,1983-11-19
21.68,7.14,0.0,1983-11-20
22.0,9.7,0.0,1983-11-21
22.97,9.83,0.0,1983-11-22
23.78,10.38,0.46,1983-11-23
23.18,9.77,0.02,1983-11-24
21.51,9.09,1.13,1983-11-25
21.69,9.34,0.0,1983-11-26
22.8,9.89,0.0,1983-11-27
22.42,9.16,0.0,1983-11-28
21.69,8.61,0.0,1983-11-29
21.73,9.16,0.0,1983-11-30
21.13,8.61,0.0,1983-12-01
20.02,8.12,0.0,1983-12-02
20.49,8.54,0.0,1983-12-03
19.93,7.57,0.0,1983-12-04
19.06,6.47,0.0,1983-12-05
18.76,6.29,0.0,1983-12-06
18.09,6.41,0.0,1983-12-07
18.56,7.57,0.0,1983-12-08
19.44,7.26,0.0,1983-12-09
20.12,6.84,0.0,1983-12-10
18.5,6.29,0.0,1983-12-11
18.56,6.41,0.0,1983-12-12
17.58,5.0,0.0,1983-12-13
18.01,7.32,0.0,1983-12-14
18.43,6.96,0.0,1983-12-15
17.24,5.13,0.0,1983-12-16
17.31,4.7,0.0,1983-12-17
17.19,4.88,0.0,1983-12-18
17.15,4.82,0.0,1983-12-19
18.11,5.74,0.0,1983-12-20
18.8,6.16,0.0,1983-12-21
18.74,5.74,0.0,1983-12-22
19.98,6.41,0.0,1983-12-23
19.22,5.92,0.0,1983-12-24
18.97,6.29,0.0,1983-12-25
17.6,9.46,0.36,1983-12-26
17.43,8.91,6.01,1983-12-27
15.9,6.53,0.03,1983-12-28
14.88,4.94,0.06,1983-12-29
14.0,3.97,0.0,1983-12-30
14.08,3.72,0.0,1983-12-31
15.3,5.55,0.0,1984-01-01
16.9,6.29,0.0,1984-01-02
18.43,5.74,0.06,1984-01-03
17.33,5.68,0.52,1984-01-04
