YEAR,MO,DY,TS,QV2M,PRECTOTCORR
1982,3,5,21.11,6.47,0.02
1982,3,6,20.69,8.79,3.26
1982,3,7,22.03,9.34,4.83
1982,3,8,21.3,5.98,0.0
1982,3,9,21.29,5.55,0.0
1982,3,10,24.01,6.53,1.11
1982,3,11,26.23,8.61,0.37
1982,3,12,25.34,8.91,1.18
1982,3,13,23.72,7.2,0.87
1982,3,14,23.51,6.71,0.45
1982,3,15,24.39,6.35,0.0
1982,3,16,25.51,6.9,0.0
1982,3,17,27.97,10.31,0.0
1982,3,18,28.58,13.37,3.95
1982,3,19,27.24,14.53,10.39
1982,3,20,27.37,9.46,0.0
1982,3,21,27.26,8.0,0.0
1982,3,22,27.53,7.57,0.0
1982,3,23,28.58,8.18,0.0
1982,3,24,30.18,9.09,0.0
1982,3,25,29.4,9.28,0.89
1982,3,26,22.49,11.6,5.1
1982,3,27,25.68,9.52,0.0
1982,3,28,26.47,6.35,0.0
1982,3,29,28.23,7.14,0.0
1982,3,30,29.94,8.3,0.02
1982,3,31,30.21,9.34,0.06
1982,4,1,29.9,8.3,1.14
1982,4,2,31.15,9.09,0.25
1982,4,3,30.52,7.87,0.56
1982,4,4,29.4,8.24,4.98
1982,4,5,32.43,13.85,0.35
1982,4,6,31.01,15.38,0.0
1982,4,7,32.8,15.14,2.79
1982,4,8,31.32,13.85,5.81
1982,4,9,29.17,7.08,0.39
1982,4,10,30.67,7.2,0.0
1982,4,11,32.58,11.54,0.04
1982,4,12,32.15,10.56,0.11
1982,4,13,32.9,12.08,0.37
1982,4,14,32.83,13.0,6.99
1982,4,15,31.93,12.02,0.1
1982,4,16,33.06,12.94,0.38
1982,4,17,32.96,13.31,0.73
1982,4,18,30.68,13.49,1.06
1982,4,19,29.66,14.47,6.9
1982,4,20,26.97,16.3,21.55
1982,4,21,29.09,13.98,10.08
1982,4,22,30.29,11.05,0.03
1982,4,23,31.48,12.21,3.17
1982,4,24,32.73,10.8,0.33
1982,4,25,33.09,12.88,0.07
1982,4,26,32.71,14.77,1.47
1982,4,27,32.67,14.34,5.24
1982,4,28,32.5,13.98,2.35
1982,4,29,33.15,13.31,2.32
1982,4,30,32.83,11.47,0.11
1982,5,1,33.94,11.6,0.0
1982,5,2,34.57,12.57,0.0
1982,5,3,33.9,13.24,3.68
1982,5,4,32.99,11.05,0.19
1982,5,5,32.3,12.57,9.89
1982,5,6,34.98,14.95,0.29
1982,5,7,34.54,12.39,0.01
1982,5,8,34.98,11.96,0.22
1982,5,9,35.92,15.01,0.01
1982,5,10,35.4,16.24,5.77
1982,5,11,33.52,16.48,5.15
1982,5,12,34.43,15.99,3.96
1982,5,13,33.68,16.3,2.87
1982,5,14,31.44,17.76,8.08
1982,5,15,31.06,14.95,4.72
1982,5,16,29.66,16.24,4.42
1982,5,17,32.14,13.92,2.06
1982,5,18,31.56,13.31,6.78
1982,5,19,32.73,13.43,0.0
1982,5,20,33.51,13.31,0.0
1982,5,21,34.76,12.82,0.0
1982,5,22,34.77,13.31,0.41
1982,5,23,33.94,14.77,0.35
1982,5,24,35.55,13.85,0.79
1982,5,25,36.82,14.4,0.08
1982,5,26,34.79,15.87,10.49
1982,5,27,36.12,15.69,0.04
1982,5,28,36.59,16.17,0.07
1982,5,29,34.87,18.25,4.38
1982,5,30,34.85,17.64,2.31
1982,5,31,33.69,18.74,6.41
1982,6,1,33.72,17.7,0.0
1982,6,2,34.35,17.27,1.64
1982,6,3,31.36,17.7,5.84
1982,6,4,29.71,19.35,13.39
1982,6,5,32.83,17.33,2.01
1982,6,6,34.7,15.87,1.05
1982,6,7,34.9,16.11,0.84
1982,6,8,34.05,17.64,4.82
1982,6,9,32.67,18.68,10.77
1982,6,10,33.15,19.23,8.39
1982,6,11,31.48,19.9,12.36
1982,6,12,30.73,19.23,5.79
1982,6,13,33.55,18.74,3.73
1982,6,14,30.11,19.96,6.99
1982,6,15,28.59,19.84,7.51
1982,6,16,29.97,18.68,2.17
1982,6,17,32.83,19.23,1.0
1982,6,18,29.9,20.08,18.24
1982,6,19,31.22,19.84,18.68
1982,6,20,30.54,20.14,14.16
1982,6,21,28.8,20.63,17.81
1982,6,22,28.71,20.39,27.14
1982,6,23,30.26,20.45,1.41
1982,6,24,29.68,20.57,0.45
1982,6,25,30.48,20.87,4.41
1982,6,26,31.16,21.36,11.73
1982,6,27,29.62,22.03,1.64
1982,6,28,29.41,21.0,1.91
1982,6,29,28.74,19.84,1.26
1982,6,30,30.46,19.96,1.25
1982,7,1,31.71,20.32,2.98
1982,7,2,31.87,19.9,0.48
1982,7,3,31.97,18.62,5.45
1982,7,4,32.29,19.78,1.32
1982,7,5,31.57,20.45,2.67
1982,7,6,31.1,20.63,1.15
1982,7,7,31.28,21.24,7.23
1982,7,8,30.73,21.42,13.15
1982,7,9,30.36,21.24,5.44
1982,7,10,30.51,20.39,0.66
1982,7,11,28.78,20.14,1.53
1982,7,12,28.8,20.08,11.76
1982,7,13,28.95,20.69,5.84
1982,7,14,30.3,20.87,2.06
1982,7,15,30.43,20.69,2.24
1982,7,16,32.02,20.57,0.66
1982,7,17,31.27,20.63,0.04
1982,7,18,32.68,19.65,0.69
1982,7,19,30.25,20.2,2.06
1982,7,20,30.01,20.26,3.57
1982,7,21,30.19,19.78,3.16
1982,7,22,28.4,20.2,1.55
1982,7,23,29.85,20.75,4.28
1982,7,24,29.31,20.69,16.23
1982,7,25,29.06,21.48,9.11
1982,7,26,29.9,21.36,5.14
1982,7,27,28.62,21.61,11.32
1982,7,28,29.63,21.12,9.26
1982,7,29,29.9,20.2,3.83
1982,7,30,30.56,20.51,3.33
1982,7,31,28.6,20.81,1.9
1982,8,1,29.88,20.45,12.51
1982,8,2,28.33,21.24,15.39
1982,8,3,27.26,20.63,16.01
1982,8,4,27.77,21.24,15.49
1982,8,5,28.79,21.24,4.4
1982,8,6,29.24,21.3,3.85
1982,8,7,28.78,21.24,1.76
1982,8,8,28.49,20.39,4.12
1982,8,9,28.4,20.51,2.09
1982,8,10,29.09,20.69,2.05
1982,8,11,29.27,21.48,1.16
1982,8,12,27.55,20.2,1.7
1982,8,13,28.3,20.63,4.48
1982,8,14,28.58,21.24,5.67
1982,8,15,29.08,21.36,11.26
1982,8,16,29.54,21.12,2.57
1982,8,17,29.26,20.69,0.68
1982,8,18,29.23,20.63,1.22
1982,8,19,28.75,21.61,1.52
1982,8,20,29.3,21.3,1.23
1982,8,21,29.09,21.12,1.7
1982,8,22,29.42,20.87,1.41
1982,8,23,29.51,21.61,17.38
1982,8,24,29.08,21.12,12.34
1982,8,25,29.7,21.12,2.32
1982,8,26,29.54,21.24,0.81
1982,8,27,29.41,20.2,0.56
1982,8,28,28.76,20.32,1.2
1982,8,29,28.03,20.26,3.25
1982,8,30,28.06,19.78,1.85
1982,8,31,28.65,19.53,4.54
1982,9,1,29.19,19.84,3.69
1982,9,2,30.13,19.96,0.41
1982,9,3,30.52,20.51,0.04
1982,9,4,28.61,20.08,1.36
1982,9,5,28.87,19.35,10.45
1982,9,6,28.97,20.57,12.41
1982,9,7,28.78,20.2,0.54
1982,9,8,29.65,20.94,0.2
1982,9,9,28.56,21.73,0.46
1982,9,10,28.55,19.59,2.45
1982,9,11,28.54,20.57,10.18
1982,9,12,28.44,20.57,11.02
1982,9,13,28.61,20.63,5.64
1982,9,14,28.02,20.02,12.52
1982,9,15,28.4,19.47,2.08
1982,9,16,29.07,19.29,1.82
1982,9,17,29.42,18.49,0.41
1982,9,18,29.14,18.31,0.41
1982,9,19,29.44,18.07,0.36
1982,9,20,29.51,18.01,0.1
1982,9,21,29.86,18.01,0.2
1982,9,22,29.74,17.58,0.18
1982,9,23,28.67,17.03,0.12
1982,9,24,29.75,16.54,0.0
1982,9,25,30.3,16.36,0.0
1982,9,26,30.71,16.3,0.0
1982,9,27,30.68,16.54,0.0
1982,9,28,29.73,17.15,1.56
1982,9,29,29.65,16.36,3.71
1982,9,30,28.74,13.98,0.03
1982,10,1,29.38,13.67,0.58
1982,10,2,29.74,13.43,0.3
1982,10,3,29.73,14.34,0.22
1982,10,4,30.31,13.55,0.0
1982,10,5,29.78,12.88,0.0
1982,10,6,29.4,12.27,0.0
1982,10,7,29.15,12.27,0.0
1982,10,8,29.65,13.31,0.0
1982,10,9,30.32,13.73,0.0
1982,10,10,30.37,14.04,0.09
1982,10,11,28.79,14.28,7.47
1982,10,12,28.6,13.12,1.3
1982,10,13,29.11,12.76,0.0
1982,10,14,29.33,12.88,0.0
1982,10,15,29.32,13.31,0.01
1982,10,16,29.84,13.73,0.0
1982,10,17,30.23,13.79,0.0
1982,10,18,29.52,11.66,0.0
1982,10,19,29.82,12.51,0.0
1982,10,20,30.59,14.16,0.0
1982,10,21,28.03,13.49,0.01
1982,10,22,27.26,14.47,0.57
1982,10,23,25.72,16.17,12.84
1982,10,24,27.04,14.65,0.36
1982,10,25,26.7,12.21,0.11
1982,10,26,27.06,10.86,0.0
1982,10,27,27.98,10.86,0.0
1982,10,28,27.23,11.41,0.0
1982,10,29,26.75,11.54,0.0
1982,10,30,26.42,10.99,0.0
1982,10,31,26.68,10.99,0.0
1982,11,1,26.58,11.9,0.0
1982,11,2,27.01,11.29,0.0
1982,11,3,26.55,10.86,0.0
1982,11,4,25.01,8.97,0.0
1982,11,5,24.15,7.93,0.0
1982,11,6,25.31,8.85,0.0
1982,11,7,26.69,10.13,0.05
1982,11,8,25.98,10.62,0.0
1982,11,9,25.53,11.29,0.0
1982,11,10,24.43,12.27,0.24
1982,11,11,24.74,13.0,2.01
1982,11,12,24.37,12.08,1.88
1982,11,13,23.65,9.64,0.02
1982,11,14,23.61,9.28,0.01
1982,11,15,24.27,9.34,0.0
1982,11,16,24.56,9.64,0.0
1982,11,17,24.42,9.28,0.0
1982,11,18,23.87,9.28,0.0
1982,11,19,24.19,9.03,0.0
1982,11,20,24.87,9.64,0.08
1982,11,21,25.32,9.83,0.13
1982,11,22,23.48,10.07,0.0
1982,11,23,24.69,10.31,0.05
1982,11,24,23.37,7.45,0.02
1982,11,25,20.78,4.76,0.0
1982,11,26,20.4,5.19,0.0
1982,11,27,20.23,5.13,0.0
1982,11,28,19.88,4.94,0.01
1982,11,29,18.87,4.94,0.0
1982,11,30,18.12,4.21,0.0
1982,12,1,17.58,4.03,0.0
1982,12,2,18.12,4.39,0.0
1982,12,3,18.8,5.31,0.0
1982,12,4,19.52,5.74,0.0
1982,12,5,19.44,5.62,0.0
1982,12,6,18.9,5.19,0.0
1982,12,7,18.38,4.52,0.0
1982,12,8,18.3,4.7,0.0
1982,12,9,18.89,6.04,0.0
1982,12,10,18.4,4.46,0.0
1982,12,11,19.09,5.98,0.0
1982,12,12,19.91,6.47,0.0
1982,12,13,20.22,7.45,0.0
1982,12,14,20.59,7.57,0.0
1982,12,15,19.66,5.68,0.0
1982,12,16,20.1,5.37,0.0
1982,12,17,19.87,5.49,0.0
1982,12,18,18.71,4.33,0.0
1982,12,19,18.71,5.43,0.0
1982,12,20,19.31,5.8,0.0
1982,12,21,19.91,6.35,0.0
1982,12,22,20.33,6.96,0.0
1982,12,23,19.01,4.33,0.0
1982,12,24,19.94,6.23,0.0
1982,12,25,19.39,5.43,0.0
1982,12,26,18.69,6.29,0.0
1982,12,27,18.8,5.25,0.0
1982,12,28,19.35,5.55,0.0
1982,12,29,19.01,6.04,0.0
1982,12,30,19.85,5.86,0.0
1982,12,31,16.84,4.21,0.0
1983,1,1,16.4,3.97,0.0
1983,1,2,17.62,4.21,0.0
1983,1,3,17.2,4.33,0.0
1983,1,4,16.63,4.94,0.02
1983,1,5,16.81,4.58,0.0
1983,1,6,16.31,3.66,0.0
1983,1,7,16.51,3.36,0.0
1983,1,8,17.04,3.72,0.0
1983,1,9,18.82,4.76,0.0
1983,1,10,19.21,5.62,0.13
1983,1,11,17.61,4.39,0.02
1983,1,12,16.76,4.52,0.0
1983,1,13,17.67,4.21,0.0
1983,1,14,16.98,3.36,0.0
1983,1,15,17.29,3.36,0.0
1983,1,16,18.45,4.7,0.0
1983,1,17,20.27,5.68,0.0
1983,1,18,18.69,4.76,0.0
1983,1,19,17.71,2.99,0.0
1983,1,20,18.46,2.99,0.0
1983,1,21,18.89,2.99,0.0
1983,1,22,18.93,3.85,0.0
1983,1,23,19.03,4.33,0.0
1983,1,24,20.29,4.33,0.0
1983,1,25,20.12,4.76,0.0
1983,1,26,21.05,5.07,0.0
1983,1,27,21.23,4.88,0.34
1983,1,28,22.34,4.39,0.0
1983,1,29,20.36,6.96,0.0
1983,1,30,22.15,7.26,0.0
1983,1,31,21.56,4.27,0.0
1983,2,1,19.73,3.42,0.48
1983,2,2,18.23,3.23,0.0
1983,2,3,18.27,2.99,0.0
1983,2,4,17.35,2.62,0.0
1983,2,5,16.2,2.01,0.0
1983,2,6,16.12,1.83,0.0
1983,2,7,17.21,2.69,0.0
1983,2,8,20.71,3.11,0.0
1983,2,9,19.28,6.65,0.12
1983,2,10,21.7,6.77,0.06
1983,2,11,21.62,3.6,0.0
1983,2,12,20.3,2.56,0.0
1983,2,13,21.46,2.69,0.0
1983,2,14,23.55,5.13,0.0
1983,2,15,24.75,6.84,0.0
1983,2,16,26.03,7.02,0.04
1983,2,17,25.69,6.16,0.01
1983,2,18,25.93,6.04,0.01
1983,2,19,25.49,5.68,0.0
1983,2,20,23.48,4.09,0.52
1983,2,21,24.12,4.33,0.0
1983,2,22,25.4,5.8,0.1
1983,2,23,25.73,6.35,0.44
1983,2,24,25.0,3.91,0.01
1983,2,25,25.3,5.49,0.06
1983,2,26,26.16,8.36,1.41
1983,2,27,24.26,4.09,0.0
1983,2,28,22.94,3.23,0.04
1983,3,1,24.58,3.42,0.0
1983,3,2,25.82,4.39,0.0
1983,3,3,27.44,10.93,0.53
1983,3,4,28.1,6.96,0.11
1983,3,5,26.65,4.21,0.25
1983,3,6,25.7,4.27,0.0
1983,3,7,24.52,2.2,0.01
1983,3,8,24.84,2.56,0.0
1983,3,9,26.17,3.78,0.0
1983,3,10,27.9,4.46,0.0
1983,3,11,28.51,4.82,0.0
1983,3,12,30.01,4.33,0.0
1983,3,13,28.76,3.72,0.0
1983,3,14,28.63,2.93,0.0
1983,3,15,30.16,4.52,0.0
1983,3,16,29.94,8.3,0.92
1983,3,17,28.49,8.36,1.83
1983,3,18,28.68,6.29,0.0
1983,3,19,30.22,7.87,0.07
1983,3,20,31.43,13.37,0.88
1983,3,21,30.69,11.96,0.32
1983,3,22,26.31,3.42,0.02
1983,3,23,25.05,2.69,0.51
1983,3,24,24.98,2.38,0.0
1983,3,25,26.37,2.93,0.0
1983,3,26,28.59,4.03,0.0
1983,3,27,30.82,7.08,0.0
1983,3,28,31.67,5.25,0.0
1983,3,29,31.17,4.46,0.0
1983,3,30,29.95,2.81,0.0
1983,3,31,28.94,2.32,0.0
1983,4,1,29.56,2.62,0.0
1983,4,2,30.87,2.93,0.0
1983,4,3,32.49,3.91,0.0
1983,4,4,33.55,4.76,0.0
1983,4,5,35.03,6.29,0.0
1983,4,6,32.94,4.52,0.0
1983,4,7,33.21,5.25,0.0
1983,4,8,34.26,5.92,0.0
1983,4,9,35.07,6.47,0.0
1983,4,10,34.94,9.16,0.47
1983,4,11,34.29,10.74,1.49
1983,4,12,32.76,5.98,0.33
1983,4,13,33.18,11.11,0.15
1983,4,14,32.12,8.18,0.03
1983,4,15,31.19,8.0,0.16
1983,4,16,29.51,9.77,0.75
1983,4,17,26.58,10.5,0.08
1983,4,18,28.34,10.99,0.24
1983,4,19,28.8,10.74,0.31
1983,4,20,30.17,6.41,0.01
1983,4,21,31.23,6.65,0.31
1983,4,22,31.69,4.94,0.0
1983,4,23,32.94,5.86,0.0
1983,4,24,35.1,9.46,0.01
1983,4,25,33.65,13.31,3.45
1983,4,26,34.29,15.08,2.07
1983,4,27,35.16,14.95,0.27
1983,4,28,35.59,14.77,0.57
1983,4,29,35.48,13.79,1.27
1983,4,30,35.24,11.54,0.87
1983,5,1,35.09,15.99,2.21
1983,5,2,35.83,15.99,0.64
1983,5,3,33.61,17.58,6.89
1983,5,4,32.69,15.2,4.69
1983,5,5,34.67,16.17,0.44
1983,5,6,35.49,15.56,0.01
1983,5,7,35.62,15.2,0.01
1983,5,8,33.67,14.53,0.02
1983,5,9,33.44,14.77,0.2
1983,5,10,30.62,15.08,0.06
1983,5,11,33.16,13.67,0.58
1983,5,12,32.19,14.89,4.59
1983,5,13,33.3,14.65,0.87
1983,5,14,35.2,14.53,0.41
1983,5,15,35.67,14.89,3.27
1983,5,16,34.44,15.99,4.16
1983,5,17,35.04,15.81,0.28
1983,5,18,34.48,15.44,1.42
1983,5,19,34.07,16.78,2.02
1983,5,20,35.51,15.56,1.43
1983,5,21,36.15,15.75,1.73
1983,5,22,35.37,16.54,2.43
1983,5,23,35.0,15.93,0.75
1983,5,24,36.38,15.01,0.22
1983,5,25,36.88,13.43,1.13
1983,5,26,37.98,12.7,0.0
1983,5,27,38.22,13.12,0.0
1983,5,28,38.73,13.12,0.0
1983,5,29,39.02,13.85,0.0
1983,5,30,39.4,14.71,0.0
1983,5,31,38.94,14.71,0.0
1983,6,1,39.18,14.47,0.0
1983,6,2,38.5,15.2,0.19
1983,6,3,36.58,15.26,0.07
1983,6,4,38.55,15.38,0.11
1983,6,5,37.19,17.15,0.09
1983,6,6,38.27,15.56,0.05
1983,6,7,38.57,14.71,0.07
1983,6,8,37.96,17.27,0.38
1983,6,9,35.33,16.66,0.34
1983,6,10,34.55,16.17,1.58
1983,6,11,34.38,15.44,0.67
1983,6,12,38.13,14.34,0.07
1983,6,13,35.94,15.69,0.13
1983,6,14,37.84,15.81,0.32
1983,6,15,36.32,16.3,0.43
1983,6,16,36.75,16.24,0.21
1983,6,17,37.3,16.24,2.3
1983,6,18,37.99,17.15,0.6
1983,6,19,38.3,16.91,0.45
1983,6,20,36.51,17.76,0.78
1983,6,21,37.71,17.46,0.18
1983,6,22,33.85,18.86,0.46
1983,6,23,37.03,16.91,0.37
1983,6,24,37.54,16.72,0.08
1983,6,25,35.15,18.01,0.6
1983,6,26,33.37,18.19,1.13
1983,6,27,34.55,18.01,4.32
1983,6,28,33.63,18.98,4.04
1983,6,29,34.17,19.47,2.42
1983,6,30,33.29,19.04,1.4
1983,7,1,33.85,19.04,0.5
1983,7,2,33.26,18.55,2.02
1983,7,3,32.42,18.19,9.09
1983,7,4,29.9,18.31,4.14
1983,7,5,29.71,20.2,9.33
1983,7,6,32.94,19.29,7.69
1983,7,7,34.98,18.43,2.33
1983,7,8,33.82,18.74,0.26
1983,7,9,34.44,17.88,0.04
1983,7,10,35.09,17.94,0.02
1983,7,11,35.09,17.88,1.73
1983,7,12,36.21,17.09,0.08
1983,7,13,36.85,16.72,0.03
1983,7,14,36.72,16.36,0.07
1983,7,15,37.14,16.91,0.68
1983,7,16,35.87,17.33,0.83
1983,7,17,37.31,18.07,1.29
1983,7,18,35.06,18.74,1.31
1983,7,19,35.64,18.8,0.87
1983,7,20,35.55,17.76,0.44
1983,7,21,33.99,18.92,0.32
1983,7,22,34.1,18.92,6.79
1983,7,23,31.64,19.96,5.08
1983,7,24,31.09,18.74,2.58
1983,7,25,31.63,17.64,2.48
1983,7,26,30.39,18.13,2.48
1983,7,27,33.55,18.01,1.76
1983,7,28,33.72,19.04,4.84
1983,7,29,30.51,21.3,33.62
1983,7,30,29.9,21.48,23.13
1983,7,31,30.95,21.0,5.05
1983,8,1,31.8,19.71,0.48
1983,8,2,32.08,18.74,0.08
1983,8,3,28.98,19.78,2.63
1983,8,4,28.22,20.45,5.49
1983,8,5,27.92,20.69,13.66
1983,8,6,27.56,21.0,24.96
1983,8,7,28.74,20.02,6.58
1983,8,8,29.65,19.29,0.46
1983,8,9,30.55,19.35,0.03
1983,8,10,31.01,19.71,0.53
1983,8,11,30.63,19.65,0.81
1983,8,12,30.37,19.96,0.4
1983,8,13,31.34,19.9,0.36
1983,8,14,31.06,19.59,0.47
1983,8,15,31.11,19.9,0.57
1983,8,16,31.64,19.53,0.63
1983,8,17,32.19,19.96,1.14
1983,8,18,30.72,19.96,0.1
1983,8,19,30.73,20.39,0.13
1983,8,20,31.06,19.41,2.98
1983,8,21,30.98,20.39,2.59
1983,8,22,29.08,21.18,3.09
1983,8,23,29.15,21.12,2.55
1983,8,24,28.58,21.0,6.82
1983,8,25,28.34,20.51,8.63
1983,8,26,28.29,20.08,16.26
1983,8,27,30.19,19.59,1.62
1983,8,28,30.23,19.04,0.46
1983,8,29,30.78,19.04,0.54
1983,8,30,31.32,19.41,1.18
1983,8,31,30.24,20.02,1.91
1983,9,1,30.4,19.29,1.19
1983,9,2,29.15,19.17,0.26
1983,9,3,31.24,18.68,0.32
1983,9,4,31.07,19.41,0.88
1983,9,5,28.92,19.84,2.97
1983,9,6,28.96,19.96,2.78
1983,9,7,28.65,20.39,3.2
1983,9,8,29.38,20.2,3.44
1983,9,9,30.07,19.47,2.99
1983,9,10,29.82,19.47,2.95
1983,9,11,30.73,18.49,1.32
1983,9,12,31.86,18.55,0.65
1983,9,13,30.58,18.8,0.4
1983,9,14,29.37,19.35,1.88
1983,9,15,29.62,19.29,3.81
1983,9,16,27.15,19.53,3.71
1983,9,17,28.0,20.02,4.19
1983,9,18,29.76,19.59,5.53
1983,9,19,29.8,19.35,4.51
1983,9,20,29.37,19.84,7.63
1983,9,21,27.49,19.96,18.37
1983,9,22,28.57,19.1,9.58
1983,9,23,29.51,18.31,1.06
1983,9,24,30.27,18.19,0.55
1983,9,25,30.36,17.88,0.17
1983,9,26,30.66,18.31,0.59
1983,9,27,28.98,19.1,1.74
1983,9,28,28.79,19.1,1.27
1983,9,29,30.11,18.25,0.14
1983,9,30,29.75,18.31,0.74
1983,10,1,29.32,18.25,0.33
1983,10,2,29.92,18.25,0.09
1983,10,3,28.71,19.1,2.14
1983,10,4,30.44,18.74,2.11
1983,10,5,31.67,18.98,1.25
1983,10,6,28.71,19.35,0.5
1983,10,7,29.51,18.86,3.62
1983,10,8,27.71,18.62,3.23
1983,10,9,27.42,18.62,1.79
1983,10,10,26.79,19.71,20.31
1983,10,11,26.06,20.2,47.83
1983,10,12,26.12,18.98,10.33
1983,10,13,27.32,18.68,1.61
1983,10,14,27.17,18.43,0.43
1983,10,15,25.84,17.21,9.83
1983,10,16,24.51,14.95,3.66
1983,10,17,22.26,11.17,0.0
1983,10,18,22.19,10.56,0.03
1983,10,19,24.16,13.85,0.0
1983,10,20,25.65,15.14,0.0
1983,10,21,26.53,17.03,0.09
1983,10,22,27.55,17.03,1.06
1983,10,23,27.3,16.66,1.32
1983,10,24,26.73,16.3,0.61
1983,10,25,25.12,12.45,0.0
1983,10,26,22.61,9.09,0.06
1983,10,27,22.31,10.01,0.0
1983,10,28,23.05,10.25,0.0
1983,10,29,23.72,11.17,0.0
1983,10,30,26.01,13.37,0.0
1983,10,31,26.92,13.37,0.0
1983,11,1,25.44,13.0,0.0
1983,11,2,25.39,11.84,0.0
1983,11,3,24.12,9.22,0.0
1983,11,4,23.54,8.79,0.0
1983,11,5,24.02,10.25,0.0
1983,11,6,24.69,11.29,0.0
1983,11,7,25.27,11.05,0.0
1983,11,8,23.83,10.13,0.0
1983,11,9,26.21,13.12,0.0
1983,11,10,24.97,11.05,0.01
1983,11,11,23.33,9.83,0.0
1983,11,12,22.08,7.32,0.0
1983,11,13,22.44,8.85,0.0
1983,11,14,23.61,10.93,0.0
1983,11,15,24.05,10.74,0.0
1983,11,16,24.02,10.56,0.0
1983,11,17,23.83,11.05,0.0
1983,11,18,23.97,10.86,0.0
1983,11,19,22.58,7.87,0.0
1983,11,20,21.68,7.14,0.0
1983,11,21,22.0,9.7,0.0
1983,11,22,22.97,9.83,0.0
1983,11,23,23.78,10.38,0.46
1983,11,24,23.18,9.77,0.02
1983,11,25,21.51,9.09,1.13
1983,11,26,21.69,9.34,0.0
1983,11,27,22.8,9.89,0.0
1983,11,28,22.42,9.16,0.0
1983,11,29,21.69,8.61,0.0
1983,11,30,21.73,9.16,0.0
1983,12,1,21.13,8.61,0.0
1983,12,2,20.02,8.12,0.0
1983,12,3,20.49,8.54,0.0
1983,12,4,19.93,7.57,0.0
1983,12,5,19.06,6.47,0.0
1983,12,6,18.76,6.29,0.0
1983,12,7,18.09,6.41,0.0
1983,12,8,18.56,7.57,0.0
1983,12,9,19.44,7.26,0.0
1983,12,10,20.12,6.84,0.0
1983,12,11,18.5,6.29,0.0
1983,12,12,18.56,6.41,0.0
1983,12,13,17.58,5.0,0.0
1983,12,14,18.01,7.32,0.0
1983,12,15,18.43,6.96,0.0
1983,12,16,17.24,5.13,0.0
1983,12,17,17.31,4.7,0.0
1983,12,18,17.19,4.88,0.0
1983,12,19,17.15,4.82,0.0
1983,12,20,18.11,5.74,0.0
1983,12,21,18.8,6.16,0.0
1983,12,22,18.74,5.74,0.0
1983,12,23,19.98,6.41,0.0
1983,12,24,19.22,5.92,0.0
1983,12,25,18.97,6.29,0.0
1983,12,26,17.6,9.46,0.36
1983,12,27,17.43,8.91,6.01
1983,12,28,15.9,6.53,0.03
1983,12,29,14.88,4.94,0.06
1983,12,30,14.0,3.97,0.0
1983,12,31,14.08,3.72,0.0
1984,1,1,15.3,5.55,0.0
1984,1,2,16.9,6.29,0.0
1984,1,3,18.43,5.74,0.06
